Transaction Date,Description,Category,Amount
01/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
01/08/2026,GOODLIFE FITNESS,Recreation,-44.99
01/16/2026,NEWTOWN DENTAL,Health and Education,-170.28
01/17/2026,CANADIAN TIRE #244,Retail and Grocery,-63.00
01/24/2026,PAYMENT - THANK YOU,,410.30
02/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
02/08/2026,GOODLIFE FITNESS,Recreation,-44.99
02/21/2026,CANADIAN TIRE #244,Retail and Grocery,-48.21
02/24/2026,PAYMENT - THANK YOU,,554.80
03/02/2026,IKEA VAUGHAN,Home and Office Improvement,-412.77
03/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
03/08/2026,GOODLIFE FITNESS,Recreation,-44.99
03/24/2026,PAYMENT - THANK YOU,,658.81
03/27/2026,CANADIAN TIRE #244,Retail and Grocery,-81.23
04/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
04/08/2026,GOODLIFE FITNESS,Recreation,-44.99
04/16/2026,NEWTOWN DENTAL,Health and Education,-120.76
04/19/2026,CANADIAN TIRE #244,Retail and Grocery,-35.72
04/24/2026,PAYMENT - THANK YOU,,551.21
05/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
05/08/2026,GOODLIFE FITNESS,Recreation,-44.99
05/10/2026,CANADIAN TIRE #244,Retail and Grocery,-91.38
05/20/2026,MAIN STREET AUTO,Transportation,-3800.00
05/24/2026,PAYMENT - THANK YOU,,625.50
06/03/2026,THE BOOK NOOK NEWTOWN,Entertainment and Recreation,-38.50
06/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
06/08/2026,GOODLIFE FITNESS,Recreation,-44.99
06/24/2026,PAYMENT - THANK YOU,,618.15
06/26/2026,CANADIAN TIRE #244,Retail and Grocery,-73.27
07/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
07/08/2026,GOODLIFE FITNESS,Recreation,-44.99
07/14/2026,AIR CANADA,Travel,-2400.00
07/15/2026,CANADIAN TIRE #244,Retail and Grocery,-28.15
07/16/2026,NEWTOWN DENTAL,Health and Education,-161.17
07/24/2026,PAYMENT - THANK YOU,,449.12
08/04/2026,ALLSTATE INSURANCE CO,Insurance,-141.30
08/08/2026,GOODLIFE FITNESS,Recreation,-44.99
08/14/2026,CANADIAN TIRE #244,Retail and Grocery,-74.17
08/19/2026,THE BOOK NOOK NEWTOWN,Entertainment and Recreation,-27.90
08/24/2026,PAYMENT - THANK YOU,,340.30
